"Order No / Bill No","BusinessDay","Check Open","Sales Type","Check Close","Transaction Type","Void","Void Amount","Refund","Refund Amount","Guest Count","Guest Count (Senior)","Guest Count (PWD)","Gross Sales Amount","Net Sales Amount","Total Tax","Other/Local Tax","Total Service Charge","Total Tip","Total Discount","Less Tax Amount","Tax Exempt Sales","Regular / Other Discount Name","Regular / Other Discount Amount","Employee Discount Amount","Senior Citizen Discount Amount","VIP Discount Amount","PWD Discount Amount","National Coach / Athlete / Medal of Valor Discount Amount","SMAC Discount Amount","Online Deals Discount Name","Online Deals Discount Amount","Discount Field 1 Name","Discount Field 2 Name","Discount Field 3 Name","Discount Field 4 Name","Discount Field 5 Name","Discount Field 6 Name","Discount Field 1 Amount","Discount Field 2 Amount","Discount Field 3 Amount","Discount Field 4 Amount","Discount Field 5 Amount","Discount FIeld 6 Amount","Payment Type_1","Payment Amount_1","Payment Type_2","Payment Amount_2","Payment Type_3","Payment Amount_3","Total Cash Sales Amount","Total Debit Card Sales Amount","Total E Wallet / Online Sales Amount","Total Other Tender Sales Amount","Total Mastercard Sales Amount","Total Visa Sales Amount","Total American Sales Amount","Total Diners Sales Amount","Total JCB Sales Amount","Total Other Credit Card Sales Amount","Terminal Number","Serial Number"
"0001-000012","2024-03-15","2024-03-15 09:48:26",,"2024-03-15 09:48:26","Walk In",0,0.00,1,0.00,1,0,0,44.00,22.00,4.71429,0.00,0.00,0.00,0.00,39.28571,0.00,"promoref2=0%",0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,"2345678908754Q3RE54T6"
"0001-000016","2024-03-15","2024-03-15 10:04:13",,"2024-03-15 10:04:13","Walk In",0,0.00,2,0.00,1,0,0,44.00,22.00,4.71429,0.00,0.00,0.00,0.00,39.28571,0.00,"promoref2=0%",0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,"2345678908754Q3RE54T6"
"0001-000017","2024-03-15","2024-03-15 10:06:41",,"2024-03-15 10:06:41","Walk In",0,0.00,2,0.00,1,0,0,66.00,22.00,7.07143,0.00,0.00,0.00,0.00,58.92857,0.00,"promoref2=0%",0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,"2345678908754Q3RE54T6"
"0001-000019","2024-03-15","2024-03-15 10:19:05",,"2024-03-15 10:19:05","Walk In",0,0.00,0,88.00,1,0,0,88.00,22.00,9.42857,0.00,0.00,0.00,0.00,78.57143,0.00,"promoref2=0%",0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,"2345678908754Q3RE54T6"
